,DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem,Quan
0,"Đường Huy Cận, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.35,The Art,66.0,Chưa bàn giao,35.61,2.0,2.0,8.0,Đã có sổ,Nội thất cao cấp,Tây Bắc,Đông Bắc,, Thành phố Thủ Đức
1,"số 88, số 88 Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",3.42,Celadon City,71.0,Đã bàn giao,48.17,2.0,2.0,,Đang chờ sổ,Nội thất cao cấp,,,, Quận Tân Phú
2,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",2.4,Akari City,56.0,Đã bàn giao,42.86,2.0,,,,,,,, Quận Bình Tân
3,"Bát Nàn, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",7.5,One Verandah Mapletree,107.0,Đã bàn giao,70.09,3.0,,,,,,,, Thành phố Thủ Đức
4,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",3.1,Akari City,75.0,Chưa bàn giao,41.33,2.0,2.0,,,,,,, Quận Bình Tân
5,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",5.7,Celadon City,104.0,Đã bàn giao,54.81,3.0,2.0,,,,Đông Nam,,, Quận Tân Phú
6,"Nguyễn Thị Định, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.0,Căn hộ D’Lusso,60.0,Đã bàn giao,50.0,2.0,1.0,,,,,,, Thành phố Thủ Đức
7,"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",1.79,Orchid Park,72.0,Đã bàn giao,24.86,2.0,,,Đã có sổ,Nội thất đầy đủ,,,, Huyện Nhà Bè
8,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",4.1,Akari City,97.0,Đã bàn giao,42.27,3.0,2.0,,,,,,Căn góc, Quận Bình Tân
9,"Số 383, Bình Trưng Tây, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.3,La Astoria,60.0,Đã bàn giao,38.33,2.0,1.0,,,,,,, Thành phố Thủ Đức
10,"Số TA15, Đường Lê Văn Khương, Phường Thới An, Quận 12, TP Hồ Chí Minh, Phường Thới An, Quận 12, Tp Hồ Chí Minh",2.23,Võ Đình Apartment,90.0,Đã bàn giao,24.78,2.0,2.0,11.0,Đã có sổ,Hoàn thiện cơ bản,Đông Bắc,Tây Bắc,, Quận 12
11,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",2.25,New Saigon-Hoàng Anh Gia Lai 3,100.0,Đã bàn giao,22.5,2.0,2.0,,Đã có sổ,,Đông Nam,Tây Bắc,, Huyện Nhà Bè
12,"Bến Nghé, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",5.0,Shizen Home (Asiana Riverside),77.5,Chưa bàn giao,64.52,2.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,Đông Nam,Tây,, Quận 7
13,"Nguyễn Văn Linh, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh",3.06,Mizuki Park,71.0,Chưa bàn giao,43.1,2.0,2.0,7.0,Giấy tờ khác,Hoàn thiện cơ bản,Đông Bắc,,, Huyện Bình Chánh
